OBJECTID,COMPKEY,COMPTYPE,UNITID,UNITID2,UNITIDSORT,UNITDESC,STNAME_ORD,ONSTREET,XSTRLO,XSTRHI,ARTCLASS,ARTDESCRIPT,OWNER,STATUS,BLOCKNBR,SPEEDLIMIT,SEGDIR,ONEWAY,ONEWAYDIR,FLOW,SEGLENGTH,SURFACEWIDTH,SURFACETYPE_1,SURFACEDATE_1,SURFACETYPE_2,SURFACEDATE_2,INTRLO,DIRLO,INTKEYLO,INTRHI,DIRHI,INTKEYHI,GIS_MID_X,GIS_MID_Y,SGNDBKROUTE,NGHBRHDGRNWY,NATIONHWYSYS,STREETTYPE,MJTRK_STR_FLAG,PVMTCONDINDX1,PVMTCONDINDX2,TRANCLASS,TRANDESCRIPT,PRIMARYDISTRICTCD,SECONDARYDISTRICTCD,OVERRIDEYN,SLOPE_PCT,PVMTCATEGORY,PARKBOULEVARD,SHAPE_Length
8962,11761,68,08615,0009,086150009,MERCER ST BETWEEN QUEEN ANNE AVE N AND 1ST AVE N,MERCER ST,MERCER ST,QUEEN ANNE AVE N,1ST AVE N,1,Principal Arterial, ,INSVC,0,25,E,N, , ,322,59,AC/PCC,2017/10/04 00:00:00+00,,,MERCER ST AND QUEEN ANNE AVE N,E,28632,1ST AVE N AND MERCER ST,W,28919,1264938.85111609,231542.79414515,N,N,Y,Urban Village Main,,83,0,2,MAJOR TRANSIT ROUTE,DISTRICT7, ,N,1,ART,N,321.89016495315
8963,11768,68,08615,0055,086150055,MERCER ST BETWEEN TAYLOR AVE N AND 6TH AVE N,MERCER ST,MERCER ST,TAYLOR AVE N,6TH AVE N,1,Principal Arterial, ,INSVC,500,25,E,N, , ,524,51,PCC,2017/10/04 00:00:00+00,,,MERCER ST AND TAYLOR AVE N,E,28913,6TH AVE N AND MERCER ST,W,641626,1267614.06705484,231443.23696105,Y,N,Y,Urban Village Main,,87,0,2,MAJOR TRANSIT ROUTE,DISTRICT7, ,N,7,ART,N,526.004437603684
8965,11798,68,08620,0500,086200500,MERIDIAN AVE N BETWEEN N 50TH ST AND N 51ST ST,MERIDIAN AVE N,MERIDIAN AVE N,N 50TH ST,N 51ST ST,3,Collector Arterial, ,INSVC,5000,25,N,N, , ,269,38,AC/PCC,2017/10/03 00:00:00+00,,,MERIDIAN AVE N AND N 50TH ST,N,25525,MERIDIAN AVE N AND N 51ST ST,S,25524,1270737.34533003,246322.6715363,N,N,N,Neighborhood Corridor,,32,0,3,MINOR TRANSIT ROUTE,DISTRICT6, ,N,1,ART,N,268.567097546108
8966,11824,68,08620,1060,086201060,MERIDIAN AVE N BETWEEN N 106TH ST AND N 107TH ST,MERIDIAN AVE N,MERIDIAN AVE N,N 106TH ST,N 107TH ST,2,Minor Arterial, ,INSVC,10600,25,N,N, , ,331,44,AC/PCC,2017/09/23 00:00:00+00,,,MERIDIAN AVE N AND N 106TH ST,N,36593,MERIDIAN AVE N AND N 107TH ST,S,36588,1270970.31429027,261273.8277756,Y,N,N,Urban Village Neighborhood,,92,0,2,MAJOR TRANSIT ROUTE,DISTRICT5, ,N,4,ART,N,330.768991565479
8970,11880,68,08665,0190,086650190,MINOR AVE BETWEEN STEWART ST AND VIRGINIA ST,MINOR AVE,MINOR AVE,STEWART ST,VIRGINIA ST,0,Not Designated, ,INSVC,1900,20,NW,N, , ,425,42,AC,2015/10/05 00:00:00+00,,,MINOR AVE AND STEWART ST,NW,29172,MINOR AVE AND VIRGINIA ST,SE,158089,1270697.93278599,229026.68547058,N,N,N,Downtown Neighborhood Access,,13,0,3,MINOR TRANSIT ROUTE,DISTRICT7, ,N,0,NON-ART,N,425.878279075343
8986,12219,68,09160,0060,091600060,PINE ST BETWEEN 6TH AVE AND 7TH AVE,PINE ST,PINE ST,6TH AVE,7TH AVE,1,Principal Arterial, ,INSVC,600,25,NE,Y,SW,T,322,36,PCC,2017/11/03 00:00:00+00,,,6TH AVE AND PINE ST,NE,29568,7TH AVE AND PINE ST,SW,29881,1270088.40452936,226986.16630049,Y,N,Y,Downtown,,70,0,1,PRINCIPAL TRANSIT ROUTE,DISTRICT7, ,N,3,ART,N,322.03048949064
8991,12313,68,09315,0210,093150210,QUEEN ANNE AVE N BETWEEN CROCKETT ST AND BOSTON ST,QUEEN ANNE AVE N,QUEEN ANNE AVE N,CROCKETT ST,BOSTON ST,2,Minor Arterial, ,INSVC,2100,25,N,N, , ,442,46,AC/PCC,2017/10/04 00:00:00+00,,,CROCKETT ST AND QUEEN ANNE AVE N,N,27834,BOSTON ST AND QUEEN ANNE AVE N,S,27825,1264817.81559597,236359.38717409,N,N,N,Urban Village Neighborhood,,53,0,2,MAJOR TRANSIT ROUTE,DISTRICT7, ,N,1,ART,N,442.440793452688
8993,12360,68,09345,0220,093450220,RAINIER AVE S BETWEEN S WALKER ST AND S COLLEGE N ST,RAINIER AVE S,RAINIER AVE S,S WALKER ST,S COLLEGE N ST,1,Principal Arterial, ,INSVC,2200,25,SE,N, , ,210,52,AC/PCC,2017/10/11 00:00:00+00,,,RAINIER AVE S AND S WALKER ST,SE,31563,RAINIER AVE S AND S COLLEGE N ST,NW,31581,1277978.97746545,216265.53396951,N,N,Y,Urban Village Main,Y,44,0,1,PRINCIPAL TRANSIT ROUTE,DISTRICT3,DISTRICT2,N,0,ART,N,209.700648426025
8994,12372,68,09345,0330,093450330,RAINIER AVE S BETWEEN S BYRON ST AND S WALDEN ST,RAINIER AVE S,RAINIER AVE S,S BYRON ST,S WALDEN ST,1,Principal Arterial, ,INSVC,3300,25,SE,N, , ,421,55,AC/PCC,2017/10/11 00:00:00+00,,,RAINIER AVE S AND S BYRON ST,SE,32410,RAINIER AVE S AND S WALDEN ST,NW,32416,1279787.1085393,212593.74081375,N,N,Y,Urban Village Main,,58,0,2,MAJOR TRANSIT ROUTE,DISTRICT2, ,N,0,ART,N,420.558184859216
8995,12381,68,09345,0425,093450425,RAINIER AVE S BETWEEN S GENESEE N ST AND S GENESEE S ST,RAINIER AVE S,RAINIER AVE S,S GENESEE N ST,S GENESEE S ST,1,Principal Arterial, ,INSVC,4400,25,S,N, , ,67,52,AC/PCC,2017/10/11 00:00:00+00,,,RAINIER AVE S AND S GENESEE N ST,S,32708,RAINIER AVE S AND S GENESEE S ST,N,32715,1281250.02694079,209192.84263428,N,N,Y,Urban Village Main,,68,0,2,MAJOR TRANSIT ROUTE,DISTRICT2, ,N,0,ART,N,66.6989526870021
